Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),area
40,1,0,0,0,0,Alabama
40,2,0,0,0,0,Alaska
40,4,0,0,0,0,Arizona
40,5,0,0,0,0,Arkansas
40,6,0,0,0,0,California
40,8,0,0,0,0,Colorado
40,9,0,0,0,0,Connecticut
40,10,0,0,0,0,Delaware
40,11,0,0,0,0,District of Columbia
40,12,0,0,0,0,Florida
40,13,0,0,0,0,Georgia
40,15,0,0,0,0,Hawaii
40,16,0,0,0,0,Idaho
40,17,0,0,0,0,Illinois
40,18,0,0,0,0,Indiana
40,19,0,0,0,0,Iowa
40,20,0,0,0,0,Kansas
40,21,0,0,0,0,Kentucky
40,22,0,0,0,0,Louisiana
40,23,0,0,0,0,Maine
40,24,0,0,0,0,Maryland
40,25,0,0,0,0,Massachusetts
40,26,0,0,0,0,Michigan
40,27,0,0,0,0,Minnesota
40,28,0,0,0,0,Mississippi
40,29,0,0,0,0,Missouri
40,30,0,0,0,0,Montana
40,31,0,0,0,0,Nebraska
40,32,0,0,0,0,Nevada
40,33,0,0,0,0,New Hampshire
40,34,0,0,0,0,New Jersey
40,35,0,0,0,0,New Mexico
40,36,0,0,0,0,New York
40,37,0,0,0,0,North Carolina
40,38,0,0,0,0,North Dakota
40,39,0,0,0,0,Ohio
40,40,0,0,0,0,Oklahoma
40,41,0,0,0,0,Oregon
40,42,0,0,0,0,Pennsylvania
40,44,0,0,0,0,Rhode Island
40,45,0,0,0,0,South Carolina
40,46,0,0,0,0,South Dakota
40,47,0,0,0,0,Tennessee
40,48,0,0,0,0,Texas
40,49,0,0,0,0,Utah
40,50,0,0,0,0,Vermont
40,51,0,0,0,0,Virginia
40,53,0,0,0,0,Washington
40,54,0,0,0,0,West Virginia
40,55,0,0,0,0,Wisconsin
40,56,0,0,0,0,Wyoming
40,72,0,0,0,0,Puerto Rico
